Date,open,high,low,close,tick_volume
2012-11-14 04:30:00,126198.0,126216.0,126155.0,126208.0,421
2012-11-14 04:45:00,126206.0,126270.0,126198.0,126241.0,398
2012-11-14 05:00:00,126242.0,126250.0,126209.0,126246.0,303
2012-11-14 05:15:00,126245.0,126255.0,126222.0,126227.0,257
2012-11-14 05:30:00,126228.0,126275.0,126224.0,126269.0,211
2012-11-14 05:45:00,126272.0,126320.0,126233.0,126315.0,437
2012-11-14 06:00:00,126320.0,126331.0,126238.0,126253.0,744
2012-11-14 06:15:00,126253.0,126281.0,126231.0,126268.0,646
2012-11-14 06:30:00,126270.0,126315.0,126253.0,126261.0,728
2012-11-14 06:45:00,126260.0,126344.0,126252.0,126333.0,708
2012-11-14 07:00:00,126334.0,126482.0,126322.0,126428.0,1142
2012-11-14 07:15:00,126432.0,126585.0,126385.0,126564.0,1248
2012-11-14 07:30:00,126565.0,126803.0,126539.0,126714.0,1515
2012-11-14 07:45:00,126713.0,126773.0,126632.0,126655.0,1191
2012-11-14 08:00:00,126657.0,126737.0,126605.0,126733.0,1405
2012-11-14 08:15:00,126733.0,126798.0,126668.0,126779.0,1370
2012-11-14 08:30:00,126780.0,126922.0,126777.0,126902.0,1368
2012-11-14 08:45:00,126903.0,127042.0,126898.0,126947.0,1563
2012-11-14 09:00:00,126947.0,126971.0,126832.0,126874.0,1572
2012-11-14 09:15:00,126874.0,126901.0,126794.0,126816.0,1380
2012-11-14 09:30:00,126818.0,126863.0,126743.0,126837.0,1454
2012-11-14 09:45:00,126836.0,126999.0,126833.0,126926.0,1368
2012-11-14 10:00:00,126927.0,127061.0,126909.0,126957.0,1458
2012-11-14 10:15:00,126955.0,127078.0,126954.0,127040.0,1347
2012-11-14 10:30:00,127047.0,127089.0,126976.0,127023.0,1439
2012-11-14 10:45:00,127024.0,127089.0,127000.0,127045.0,1470
2012-11-14 11:00:00,127044.0,127106.0,126991.0,127024.0,1401
2012-11-14 11:15:00,127022.0,127029.0,126926.0,127001.0,1162
2012-11-14 11:30:00,126999.0,127004.0,126698.0,126847.0,1687
2012-11-14 11:45:00,126846.0,126917.0,126784.0,126901.0,1334
2012-11-14 12:00:00,126903.0,127037.0,126895.0,127003.0,1549
2012-11-14 12:15:00,127002.0,127051.0,126952.0,126960.0,1481
2012-11-14 12:30:00,126960.0,127046.0,126937.0,127001.0,1152
2012-11-14 12:45:00,127000.0,127051.0,126978.0,127017.0,1288
2012-11-14 13:00:00,127015.0,127048.0,126993.0,127045.0,1036
2012-11-14 13:15:00,127044.0,127140.0,127008.0,127105.0,1285
2012-11-14 13:30:00,127102.0,127185.0,127071.0,127184.0,1125
2012-11-14 13:45:00,127187.0,127191.0,127093.0,127102.0,1298
2012-11-14 14:00:00,127103.0,127136.0,127045.0,127065.0,1211
2012-11-14 14:15:00,127064.0,127256.0,127052.0,127175.0,1504
2012-11-14 14:30:00,127182.0,127315.0,127129.0,127186.0,1655
2012-11-14 14:45:00,127185.0,127383.0,127181.0,127343.0,1414
2012-11-14 15:00:00,127344.0,127396.0,127270.0,127382.0,1378
2012-11-14 15:15:00,127383.0,127449.0,127377.0,127381.0,1458
2012-11-14 15:30:00,127382.0,127461.0,127368.0,127377.0,1434
2012-11-14 15:45:00,127378.0,127408.0,127332.0,127401.0,1411
2012-11-14 16:00:00,127402.0,127488.0,127380.0,127423.0,1520
2012-11-14 16:15:00,127422.0,127455.0,127273.0,127273.0,1484
2012-11-14 16:30:00,127271.0,127283.0,127028.0,127067.0,1730
2012-11-14 16:45:00,127068.0,127213.0,127065.0,127082.0,1649
2012-11-14 17:00:00,127085.0,127200.0,127079.0,127179.0,1514
2012-11-14 17:15:00,127180.0,127195.0,127063.0,127127.0,1433
2012-11-14 17:30:00,127126.0,127126.0,127024.0,127090.0,1302
2012-11-14 17:45:00,127083.0,127118.0,127058.0,127087.0,1099
2012-11-14 18:00:00,127084.0,127109.0,127049.0,127056.0,1044
2012-11-14 18:15:00,127052.0,127147.0,127039.0,127141.0,1128
2012-11-14 18:30:00,127141.0,127163.0,127096.0,127130.0,1001
2012-11-14 18:45:00,127129.0,127131.0,127054.0,127073.0,947
2012-11-14 19:00:00,127074.0,127104.0,127039.0,127090.0,910
2012-11-14 19:15:00,127090.0,127142.0,127084.0,127103.0,954
2012-11-14 19:30:00,127104.0,127145.0,127067.0,127107.0,1015
2012-11-14 19:45:00,127108.0,127169.0,127086.0,127137.0,882
2012-11-14 20:00:00,127136.0,127194.0,127030.0,127039.0,1129
2012-11-14 20:15:00,127038.0,127170.0,126996.0,127140.0,860
2012-11-14 20:30:00,127136.0,127136.0,127044.0,127061.0,533
2012-11-14 20:45:00,127060.0,127074.0,127031.0,127061.0,568
2012-11-14 21:00:00,127060.0,127075.0,126990.0,127048.0,725
2012-11-14 21:15:00,127049.0,127127.0,126960.0,127122.0,668
2012-11-14 21:30:00,127121.0,127125.0,127071.0,127104.0,620
2012-11-14 21:45:00,127103.0,127143.0,127033.0,127068.0,666
2012-11-14 22:00:00,127069.0,127102.0,127040.0,127091.0,502
2012-11-14 22:15:00,127090.0,127105.0,127052.0,127053.0,354
2012-11-14 22:30:00,127054.0,127094.0,127054.0,127081.0,290
2012-11-14 22:45:00,127082.0,127115.0,127058.0,127082.0,552
2012-11-14 23:00:00,127083.0,127131.0,127049.0,127121.0,500
2012-11-14 23:15:00,127122.0,127122.0,127048.0,127071.0,415
2012-11-14 23:30:00,127072.0,127075.0,127030.0,127075.0,360
2012-11-14 23:45:00,127073.0,127081.0,126962.0,126969.0,506
2012-11-15 00:00:00,126971.0,127027.0,126965.0,127013.0,474
2012-11-15 00:15:00,127014.0,127071.0,127007.0,127067.0,361
2012-11-15 00:30:00,127066.0,127078.0,127049.0,127069.0,312
2012-11-15 00:45:00,127070.0,127076.0,126994.0,126995.0,437
2012-11-15 01:00:00,126996.0,126998.0,126906.0,126966.0,675
2012-11-15 01:15:00,126967.0,127033.0,126954.0,127008.0,596
2012-11-15 01:30:00,127009.0,127069.0,127005.0,127064.0,619
2012-11-15 01:45:00,127063.0,127115.0,127059.0,127096.0,617
2012-11-15 02:00:00,127095.0,127095.0,126986.0,127031.0,560
2012-11-15 02:15:00,127032.0,127126.0,127026.0,127118.0,522
2012-11-15 02:30:00,127119.0,127154.0,127013.0,127047.0,676
2012-11-15 02:45:00,127048.0,127073.0,126950.0,127064.0,565
2012-11-15 03:00:00,127065.0,127071.0,127006.0,127053.0,464
2012-11-15 03:15:00,127054.0,127116.0,127046.0,127102.0,382
2012-11-15 03:30:00,127101.0,127152.0,127070.0,127152.0,488
2012-11-15 03:45:00,127151.0,127172.0,127140.0,127154.0,382
2012-11-15 04:00:00,127153.0,127153.0,127107.0,127110.0,361
2012-11-15 04:15:00,127109.0,127122.0,127081.0,127102.0,357
2012-11-15 04:30:00,127103.0,127119.0,127077.0,127098.0,449
2012-11-15 04:45:00,127097.0,127198.0,127080.0,127195.0,449
2012-11-15 05:00:00,127196.0,127598.0,127195.0,127593.0,1230
2012-11-15 05:15:00,127597.0,127724.0,127576.0,127590.0,999
2012-11-15 05:30:00,127591.0,127672.0,127566.0,127662.0,675
2012-11-15 05:45:00,127663.0,128021.99999999999,127637.0,127988.0,1105
2012-11-15 06:00:00,127989.0,128058.0,127927.0,127984.0,1304
2012-11-15 06:15:00,127978.0,128053.0,127959.0,127999.0,1081
2012-11-15 06:30:00,127999.0,128186.0,127994.0,128184.0,1340
2012-11-15 06:45:00,128186.0,128291.0,128120.0,128247.99999999999,1376
2012-11-15 07:00:00,128247.00000000001,128301.99999999999,128121.00000000001,128121.00000000001,1313
2012-11-15 07:15:00,128120.0,128145.99999999999,127988.0,128009.99999999999,1293
2012-11-15 07:30:00,128012.0,128100.0,127980.0,128098.00000000001,1174
2012-11-15 07:45:00,128098.99999999999,128148.0,127939.0,127942.0,1081
2012-11-15 08:00:00,127943.0,128047.0,127940.0,128014.00000000001,1270
2012-11-15 08:15:00,128014.99999999999,128088.0,127986.0,128079.00000000001,1120
2012-11-15 08:30:00,128080.00000000001,128144.0,128062.00000000001,128116.99999999999,1102
2012-11-15 08:45:00,128110.00000000001,128187.00000000001,128076.0,128080.00000000001,1020
2012-11-15 09:00:00,128082.0,128119.0,128001.0,128086.99999999999,1481
2012-11-15 09:15:00,128086.00000000001,128098.99999999999,127997.0,128083.0,1308
2012-11-15 09:30:00,128084.0,128128.99999999999,128017.0,128080.99999999999,1465
2012-11-15 09:45:00,128083.0,128119.0,128030.0,128083.0,1169
2012-11-15 10:00:00,128084.0,128116.99999999999,128036.0,128096.0,1299
2012-11-15 10:15:00,128095.0,128155.0,128038.00000000001,128109.00000000001,1388
2012-11-15 10:30:00,128104.99999999999,128209.0,128008.00000000001,128156.0,1733
2012-11-15 10:45:00,128151.00000000001,128271.99999999999,128138.0,128264.00000000001,1470
2012-11-15 11:00:00,128263.0,128329.00000000001,128238.0,128328.0,1528
2012-11-15 11:15:00,128334.0,128610.99999999999,128334.0,128550.99999999999,1712
2012-11-15 11:30:00,128551.99999999999,128723.00000000001,128537.0,128643.0,1607
2012-11-15 11:45:00,128644.0,128788.99999999999,128592.00000000001,128741.99999999999,1443
2012-11-15 12:00:00,128739.0,128752.99999999999,128576.0,128576.0,1265
2012-11-15 12:15:00,128579.00000000001,128634.99999999999,128511.0,128535.0,1287
2012-11-15 12:30:00,128535.0,128728.00000000001,128532.00000000001,128651.99999999999,1269
2012-11-15 12:45:00,128651.99999999999,128674.0,128565.0,128592.99999999999,1211
2012-11-15 13:00:00,128594.0,128633.99999999999,128514.00000000001,128548.0,1331
2012-11-15 13:15:00,128549.0,128551.99999999999,128465.0,128548.0,1270
2012-11-15 13:30:00,128550.00000000001,128743.0,128538.99999999999,128692.0,1472
2012-11-15 13:45:00,128693.99999999999,128717.99999999999,128590.0,128592.99999999999,1178
2012-11-15 14:00:00,128590.0,128715.0,128584.0,128675.99999999999,1238
2012-11-15 14:15:00,128673.0,128856.0,128669.00000000001,128764.99999999999,1585
2012-11-15 14:30:00,128769.0,128924.0,128666.0,128841.00000000001,1752
2012-11-15 14:45:00,128840.0,128965.0,128806.00000000001,128846.0,1605
2012-11-15 15:00:00,128847.00000000001,128877.00000000001,128765.99999999999,128834.0,1502
2012-11-15 15:15:00,128838.0,128904.0,128755.0,128787.0,1639
2012-11-15 15:30:00,128786.0,128895.00000000001,128768.0,128856.0,1551
2012-11-15 15:45:00,128856.0,128895.99999999999,128652.99999999999,128692.0,1649
2012-11-15 16:00:00,128689.0,128933.0,128600.0,128830.99999999999,1754
2012-11-15 16:15:00,128832.0,128902.99999999999,128762.0,128818.99999999999,1657
2012-11-15 16:30:00,128822.0,128870.0,128776.99999999999,128780.0,1478
2012-11-15 16:45:00,128782.00000000001,128792.0,128660.0,128705.00000000001,1566
2012-11-15 17:00:00,128703.0,128733.0,128655.0,128711.99999999999,1563
2012-11-15 17:15:00,128713.0,128840.0,128708.0,128783.99999999999,1512
2012-11-15 17:30:00,128783.99999999999,128838.0,128758.00000000001,128770.99999999999,1254
2012-11-15 17:45:00,128770.99999999999,128781.0,128663.00000000001,128740.00000000001,1232
2012-11-15 18:00:00,128739.0,128779.0,128570.0,128574.00000000001,1241
2012-11-15 18:15:00,128573.00000000001,128613.0,128538.99999999999,128544.99999999999,1217
2012-11-15 18:30:00,128545.99999999999,128639.99999999999,128527.99999999999,128606.0,950
2012-11-15 18:45:00,128604.00000000001,128697.0,128594.0,128640.99999999999,1103
2012-11-15 19:00:00,128638.0,128703.0,128580.00000000001,128633.99999999999,977
2012-11-15 19:15:00,128633.00000000001,128698.00000000001,128620.0,128637.0,935
