entry,exit,n,mean,win,n_tr,m_tr,t_tr,n_te,m_te,t_te
02:00,08:00,1916,1.0102600904662413,51.67014613778706,1260,1.7675859788359731,2.565481599325543,656,-0.4443597560975726,-0.5438961926300241
02:00,08:15,1916,1.5507045929018743,55.01043841336117,1260,2.2289285714285634,3.2650188128977913,656,0.24801829268292924,0.3163268159907013
02:00,08:30,1916,1.7494563326374504,54.54070981210856,1260,2.372705026455036,3.344198973771439,656,0.5523628048780651,0.7310524112728551
02:00,08:45,1916,2.107106819763384,55.37578288100209,1260,2.780251322751302,3.8433925328362735,656,0.8141768292682993,1.0649311891269506
02:00,09:00,1916,1.722181628392488,55.48016701461378,1260,2.244345238095237,2.9760537934609816,656,0.7192454268292823,0.8943619619562376
02:00,09:15,1915,1.8257223672758798,56.39686684073107,1259,2.413171829494294,3.1584413545376306,656,0.6982850609756006,0.8737190406019596
02:00,09:30,1915,1.6864664926022475,56.187989556135776,1259,2.3516944665077917,3.055083258598393,656,0.4097560975609667,0.5044078905823817
02:00,09:45,1915,2.0264751958224467,56.240208877284594,1259,2.63590150913422,3.292271908383109,656,0.856859756097565,1.0001330720626378
02:00,10:00,1915,1.745974760661434,55.822454308093995,1259,2.458015620863097,2.940396706972582,656,0.37942073170732865,0.4295472460403345
02:00,10:15,1915,1.189290687554394,54.9869451697128,1259,1.9858948901244342,2.20906473822756,656,-0.3395579268292651,-0.36676495078492555
02:00,10:30,1915,1.1370713664055647,54.51697127937337,1259,2.005871061689157,2.2592933376681708,656,-0.5303353658536458,-0.5492105314934864
02:00,10:45,1915,1.2091688424717029,53.838120104438644,1259,2.2756420439502096,2.5189208125909577,656,-0.837614329268298,-0.8547872369931999
02:00,11:00,1915,1.297036553524795,54.308093994778076,1259,2.1471008737092903,2.274718687037404,656,-0.3344131097561187,-0.3428663469475487
02:00,11:15,1915,0.8101479547432449,53.838120104438644,1259,1.5397603918453713,1.548027276944348,656,-0.5901295731707449,-0.592400786335897
02:00,11:30,1916,0.8044711203897043,53.07933194154488,1260,1.5339021164021192,1.4630129707515585,656,-0.5965701219512152,-0.5985486774088232
02:00,11:45,1915,0.6618581375108703,54.7780678851175,1259,1.0864244109081154,0.8641015720419742,656,-0.15297256097561032,-0.15085104128526755
02:30,08:00,1916,0.8423364648573364,51.93110647181628,1260,1.5367195767195834,2.3840783775760803,656,-0.4913871951219791,-0.6105265037244266
02:30,08:15,1916,1.3827809672929696,55.37578288100209,1260,1.998062169312174,3.117890697273766,656,0.20099085365852293,0.26063122689793333
02:30,08:30,1916,1.5815327070285456,55.48016701461378,1260,2.1418386243386456,3.1991631078980123,656,0.5053353658536586,0.6806936578388281
02:30,08:45,1916,1.9391831941544797,55.741127348643005,1260,2.549384920634912,3.721197057107318,656,0.7671493902438927,1.018294159316706
02:30,09:00,1916,1.554258002783583,55.42797494780793,1260,2.013478835978847,2.81158260370795,656,0.6722179878048755,0.8495823395515882
02:30,09:15,1915,1.6630504786771014,56.8668407310705,1259,2.1902435795604966,2.9979553366108926,656,0.6512576219511941,0.8337321851335578
02:30,09:30,1915,1.5237946040034687,56.29242819843342,1259,2.128766216573995,2.890894118031611,656,0.3627286585365604,0.4569279351617073
02:30,09:45,1915,1.863803307223668,56.44908616187989,1259,2.412973259200423,3.145705820379007,656,0.8098323170731586,0.9658140201091174
02:30,10:00,1915,1.5833028720626554,55.665796344647525,1259,2.2350873709293,2.7890178403909816,656,0.33239329268292184,0.3836166608748337
02:30,10:15,1915,1.0266187989556153,55.30026109660574,1259,1.7629666401906374,2.022261762536096,656,-0.3865853658536718,-0.42704727646096924
02:30,10:30,1915,0.9743994778067859,54.36031331592689,1259,1.7829428117553596,2.0722449546777937,656,-0.5773628048780525,-0.610075101446356
02:30,10:45,1915,1.0464969538729243,54.882506527415146,1259,2.052713794016413,2.353972081802285,656,-0.8846417682927045,-0.9237644515181704
02:30,11:00,1915,1.1343646649260164,54.51697127937337,1259,1.9241726237754937,2.101773983263186,656,-0.3814405487805252,-0.39994420908228834
02:30,11:15,1915,0.6474760661444656,54.15143603133159,1259,1.316832141911574,1.3622979602713556,656,-0.6371570121951515,-0.6528341728360809
02:30,11:30,1916,0.6365474947807994,54.749478079331936,1260,1.3030357142857298,1.2691730263658112,656,-0.6435975609756212,-0.6588767761537015
02:30,11:45,1915,0.49918624891209207,54.93472584856397,1259,0.8634961609743186,0.6948920930188123,656,-0.20000000000001672,-0.20118777962351053
03:00,08:00,1916,0.8479862560890693,50.88726513569938,1260,1.653961640211649,2.7348722032593717,656,-0.7000762195122261,-0.8886769444362952
03:00,08:15,1916,1.388430758524703,54.07098121085595,1260,2.115304232804239,3.4786437094962803,656,-0.007698170731723712,-0.01026414517902253
03:00,08:30,1916,1.587182498260279,54.95824634655533,1260,2.259080687830711,3.532531076047893,656,0.2966463414634118,0.41460370060525903
03:00,08:45,1916,1.9448329853862127,55.062630480167016,1260,2.666626984126978,4.0648320635945145,656,0.5584603658536461,0.7697523925860439
03:00,09:00,1916,1.5599077940153163,55.2713987473904,1260,2.130720899470913,3.109352820685184,656,0.463528963414629,0.6039062717119255
03:00,09:15,1915,1.6679199303742291,56.919060052219315,1259,2.3063873444532708,3.2916558920701404,656,0.44256859756094735,0.5846277422852909
03:00,09:30,1915,1.5286640557005968,56.39686684073107,1259,2.2449099814667686,3.182454318924078,656,0.15403963414631383,0.19922210471098786
03:00,09:45,1915,1.868672758920796,56.762402088772845,1259,2.5291170240931966,3.4095565993345893,656,0.6011432926829118,0.7405068444298842
03:00,10:00,1915,1.5881723237597838,55.45691906005222,1259,2.3512311358220734,3.035761452172324,656,0.12370426829267514,0.1473029110815373
